State,N Killed,Avg. Population (2017),Avg. Total guns,GunDeathsPer100K ,Guns per 100 people
Alabama,544,"4,874,747","161,641",11.15955351,3.315884906
Alaska,69,"739,795","15,824",9.32690813,2.138970931
Arizona,289,"7,016,270","179,738",4.118997701,2.561731518
Arkansas,216,"3,004,279","79,841",7.189745027,2.657576077
California,"1,423","39,536,653","344,622",3.599191869,0.871651933
Colorado,199,"5,607,154","92,435",3.549037533,1.648519017
Connecticut,89,"3,588,184","82,400",2.480363326,2.29642627
Delaware,56,"961,939","4,852",5.821574965,0.504397888
District of Columbia,100,"693,972","47,228",14.40980328,6.805461892
Florida,950,"20,984,400","343,288",4.527172566,1.635920017
Georgia,658,"10,429,379","190,050",6.309100475,1.822256148
Hawaii,8,"1,427,538","7,859",0.560405397,0.550528252
Idaho,47,"1,716,943","49,566",2.737423432,2.886875103
Illinois,959,"12,802,023","146,487",7.49100357,1.144248843
Indiana,407,"6,666,818","114,019",6.10486142,1.710246177
Iowa,71,"3,145,711","28,494",2.257041413,0.905804761
Kansas,152,"2,913,123","52,634",5.21776801,1.806789483
Kentucky,273,"4,454,189","81,068",6.129061879,1.820039518
Louisiana,549,"4,684,333","116,831",11.71991829,2.494079733
Maine,33,"1,335,907","15,371",2.470231835,1.150604047
Maryland,480,"6,052,177","103,109",7.931030437,1.703667953
Massachusetts,128,"6,859,819","37,152",1.865938445,0.541588634
Michigan,369,"9,962,311","65,742",3.703959854,0.659907124
Minnesota,115,"5,576,606","79,307",2.062186211,1.422137408
Mississippi,324,"2,984,100","35,494",10.85754499,1.189437351
Missouri,609,"6,113,532","72,996",9.961508339,1.194007
Montana,41,"1,050,493","22,133",3.902929386,2.106915515
Nebraska,47,"1,920,076","22,234",2.447819774,1.157974997
Nevada,200,"2,998,039","76,888",6.671027295,2.564609733
New Hampshire,23,"1,342,795","64,135",1.712845222,4.776231666
New Jersey,275,"9,005,644","57,507",3.053640584,0.638566215
New Mexico,125,"2,088,070","97,580",5.986389345,4.673214978
New York,347,"19,849,399","76,207",1.748163761,0.383925982
North Carolina,556,"10,273,419","152,238",5.412024955,1.481863049
North Dakota,15,"755,393","13,272",1.98572134,1.756966241
Ohio,700,"11,658,609","173,405",6.004146807,1.487355824
Oklahoma,249,"3,930,864","71,269",6.334485243,1.813061963
Oregon,99,"4,142,776","61,383",2.389701978,1.481687641
Pennsylvania,635,"12,805,537","236,377",4.958792435,1.845896818
Rhode Island,11,"1,059,639","4,223",1.038089387,0.398531953
South Carolina,395,"5,024,369","105,601",7.861683726,2.101776362
South Dakota,19,"869,666","21,130",2.184746788,2.429668401
Tennessee,495,"6,715,984","99,159",7.370476166,1.476462719
Texas,"1,169","28,304,596","588,696",4.130071314,2.079860105
Utah,70,"3,101,833","72,856",2.256730133,2.348804723
Vermont,9,"623,657","5,872",1.443100935,0.941543188
Virginia,385,"8,470,020","307,822",4.545443812,3.63425352
Washington,230,"7,405,743","91,835",3.105697835,1.240051133
West Virginia,81,"1,815,857","35,264",4.460703679,1.942003142
Wisconsin,209,"5,795,483","64,878",3.606256804,1.119458033
Wyoming,9,"579,315","132,806",1.553558945,22.92466102
