,Country,Percentage of Homicides by firearm,Number of homicide by firearm,"Homicide by firearm rate per 100,000 pop",Average firearms per 100 people,Average total all civilian firearms,GrowthRate,pop2012
0,Australia,11.5,30.0,0.14,15.0,3050000.0,1.012771914,22955.96258
1,Austria,29.5,18.0,0.22,30.4,2500000.0,1.001643201,8666.028081999999
2,Belgium,39.5,70.0,0.68,17.2,1800000.0,1.005588981,11120.36067
3,Canada,32.0,173.0,0.51,30.8,9950000.0,1.0088230790000001,35056.50668
4,Cyprus,26.3,5.0,0.46,36.4,275000.0,1.007856461,1134.542567
5,Czech Republic,11.0,20.0,0.19,16.3,1600000.0,1.0005024820000001,10593.27226
6,Denmark,31.9,15.0,0.27,12.0,650000.0,1.00362647,5630.721977
7,Estonia,3.9,3.0,0.24,9.2,123000.0,0.997711947,1324.872548
8,Finland,19.8,24.0,0.45,45.3,2400000.0,1.003404951,5430.622264
9,France,9.6,35.0,0.06,31.2,19000000.0,1.0037931409999998,63768.14931
10,Germany,26.3,158.0,0.19,30.3,25000000.0,1.0017641990000001,81427.71852000001
11,Greece,34.9,29.0,0.26,22.5,2500000.0,0.9984241840000001,11248.09248
12,Iceland,0.0,0.0,0.0,30.3,90000.0,1.008247972,321.536136
13,Ireland,42.0,21.0,0.48,8.6,360000.0,1.009032739,4551.438432
14,Israel,11.7,6.0,0.09,7.3,500000.0,1.0155066209999999,7707.36887
15,Italy,66.7,417.0,0.71,11.9,7000000.0,0.998744429,59739.60245
16,Japan,1.8,11.0,0.01,0.6,710000.0,0.997400746,129187.0247
17,Luxembourg,42.9,3.0,0.62,15.3,70000.0,1.011300631,551.8315957000001
18,Netherlands,30.7,55.0,0.33,3.9,510000.0,1.002835852,16796.6286
19,New Zealand,13.5,7.0,0.16,22.6,925000.0,1.009013605,4500.644612
20,Norway,8.1,2.0,0.05,31.3,1400000.0,1.008882827,5076.709513000001
21,Portugal,33.8,44.0,0.41,8.5,900000.0,0.9964503640000001,10513.12502
22,Singapore,5.9,1.0,0.02,0.5,22000.0,1.01315682,5355.019988
23,Slovenia,15.4,2.0,0.1,13.5,270000.0,1.000307506,2077.424129
24,Spain,21.8,90.0,0.2,10.4,4500000.0,1.000939642,46136.72813
25,Sweden,33.9,37.0,0.41,31.6,2800000.0,1.007054798,9570.393452
26,Switzerland,72.2,57.0,0.77,45.7,3400000.0,1.007516941,8168.6224489999995
27,Turkey,16.9,535.0,0.77,12.5,9000000.0,1.0127560290000002,75917.92529
28,United States,60.0,9146.0,2.97,88.8,270000000.0,1.007119335,313149.8824
